case_id,n_reviewed,n_supported,n_unsupported,n_uncertain,hallucination_binary_strict,hallucination_binary_lenient,hallucination_count_strict,hallucination_count_lenient,hallucination_rate_strict,hallucination_rate_lenient,generated_observation_count,reference_observation_count,shared_observation_count,generated_only_count,reference_only_count,precision_obs,recall_obs,f1_obs,jaccard_obs
1105293557502393,6,3,1,2,1,1,1,3,0.16666666666666666,0.5,7,6,2,5,4,0.2857142857142857,0.3333333333333333,0.3076923076923076,0.1818181818181818
1105293558831403,5,0,1,4,1,1,1,5,0.2,1.0,5,3,0,5,3,0.0,0.0,,0.0
1105293559503672,9,0,3,6,1,1,3,9,0.3333333333333333,1.0,8,3,0,8,3,0.0,0.0,,0.0
1120464650533006,7,2,2,3,1,1,2,5,0.2857142857142857,0.7142857142857143,7,3,0,7,3,0.0,0.0,,0.0
1120464655611611,6,0,1,5,1,1,1,6,0.16666666666666666,1.0,7,2,1,6,1,0.1428571428571428,0.5,0.2222222222222222,0.125
1121361352818853,7,0,1,6,1,1,1,7,0.14285714285714285,1.0,7,2,0,7,2,0.0,0.0,,0.0
1129351750845269,8,1,0,7,0,1,0,7,0.0,0.875,8,3,0,8,3,0.0,0.0,,0.0
1129351755525523,9,1,0,8,0,1,0,8,0.0,0.8888888888888888,9,3,0,9,3,0.0,0.0,,0.0
1129351756805129,8,0,0,8,0,1,0,8,0.0,1.0,8,2,0,8,2,0.0,0.0,,0.0
1137815052705433,6,1,2,3,1,1,2,5,0.3333333333333333,0.8333333333333334,6,4,0,6,4,0.0,0.0,,0.0
1141323651161513,9,0,3,6,1,1,3,9,0.3333333333333333,1.0,10,5,1,9,4,0.1,0.2,0.1333333333333333,0.0714285714285714
1141323651503417,12,0,0,12,0,1,0,12,0.0,1.0,12,1,0,12,1,0.0,0.0,,0.0
1141323651568216,8,0,0,8,0,1,0,8,0.0,1.0,8,3,0,8,3,0.0,0.0,,0.0
1141323652164077,8,0,0,8,0,1,0,8,0.0,1.0,8,1,0,8,1,0.0,0.0,,0.0
1141323652541396,6,1,2,3,1,1,2,5,0.3333333333333333,0.8333333333333334,7,5,1,6,4,0.1428571428571428,0.2,0.1666666666666666,0.0909090909090909
1141323653836642,9,2,1,6,1,1,1,7,0.1111111111111111,0.7777777777777778,9,4,0,9,4,0.0,0.0,,0.0
1141323655108847,9,2,0,7,0,1,0,7,0.0,0.7777777777777778,10,4,1,9,3,0.1,0.25,0.1428571428571428,0.0769230769230769
1141323655972946,7,1,1,5,1,1,1,6,0.14285714285714285,0.8571428571428571,8,2,1,7,1,0.125,0.5,0.2,0.1111111111111111
1141323657332361,7,0,0,7,0,1,0,7,0.0,1.0,7,1,0,7,1,0.0,0.0,,0.0
1141323658800563,8,0,0,8,0,1,0,8,0.0,1.0,8,1,0,8,1,0.0,0.0,,0.0
1141323659218667,7,2,0,5,0,1,0,5,0.0,0.7142857142857143,7,1,0,7,1,0.0,0.0,,0.0
1141323659753947,5,0,0,5,0,1,0,5,0.0,1.0,5,2,0,5,2,0.0,0.0,,0.0
1151210452398109,8,0,0,8,0,1,0,8,0.0,1.0,8,1,0,8,1,0.0,0.0,,0.0
1151210453379869,9,1,0,8,0,1,0,8,0.0,0.8888888888888888,8,2,0,8,2,0.0,0.0,,0.0
1154028351114398,8,3,0,5,0,1,0,5,0.0,0.625,8,3,0,8,3,0.0,0.0,,0.0
1156580359027235,5,2,0,3,0,1,0,3,0.0,0.6,5,3,0,5,3,0.0,0.0,,0.0
1156904254093116,4,0,0,4,0,1,0,4,0.0,1.0,4,1,0,4,1,0.0,0.0,,0.0
1156904255883502,7,0,1,6,1,1,1,7,0.14285714285714285,1.0,7,3,0,7,3,0.0,0.0,,0.0
1156909354721804,4,0,1,3,1,1,1,4,0.25,1.0,4,5,0,4,5,0.0,0.0,,0.0
1187988654357764,10,1,0,9,0,1,0,9,0.0,0.9,10,3,0,10,3,0.0,0.0,,0.0
1187988654972841,8,0,0,8,0,1,0,8,0.0,1.0,7,3,0,7,3,0.0,0.0,,0.0
1188092353367019,5,3,0,2,0,1,0,2,0.0,0.4,6,4,1,5,3,0.1666666666666666,0.25,0.2,0.1111111111111111
1188092357292244,9,2,0,7,0,1,0,7,0.0,0.7777777777777778,10,5,1,9,4,0.1,0.2,0.1333333333333333,0.0714285714285714
1192422656051681,3,0,3,0,1,1,3,3,1.0,1.0,3,1,0,3,1,0.0,0.0,,0.0
1192422656091680,6,0,0,6,0,1,0,6,0.0,1.0,6,1,0,6,1,0.0,0.0,,0.0
1192422656990167,5,0,0,5,0,1,0,5,0.0,1.0,5,0,0,5,0,0.0,,,0.0
1192422658367071,6,0,0,6,0,1,0,6,0.0,1.0,5,1,0,5,1,0.0,0.0,,0.0
1193411452152296,5,1,1,3,1,1,1,4,0.2,0.8,6,3,1,5,2,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125
1207404151988570,9,2,0,7,0,1,0,7,0.0,0.7777777777777778,9,3,0,9,3,0.0,0.0,,0.0
1207404152874646,10,0,2,8,1,1,2,10,0.2,1.0,10,3,0,10,3,0.0,0.0,,0.0
1207404152969052,3,0,1,2,1,1,1,3,0.3333333333333333,1.0,8,1,0,8,1,0.0,0.0,,0.0
