observation,generated_count,reference_count,count_diff_generated_minus_reference
mildly enlarged,6,0,6
enlargement,5,0,5
within normal limits,5,0,5
calcified,4,0,4
endotracheal tube,4,0,4
large confluent consolidation,4,0,4
normal limits,4,0,4
surgical clips,4,0,4
atherosclerotic calcifications,3,0,3
clips,3,0,3
free air,3,0,3
increased markings,3,0,3
monitoring support devices in place,3,0,3
patchy regions consolidation notably,3,0,3
port - a - cath,3,0,3
supervening pneumonia,3,0,3
tortuous,3,0,3
tracheostomy tube,3,0,3
vertebroplasty,3,0,3
blunting,2,0,2
catheter,2,0,2
compressive atelectasis,2,0,2
confluent consolidation,2,0,2
difficult to assess,2,0,2
diffuse abnormality,2,0,2
diffuse opacities,2,0,2
diffusely calcified,2,0,2
engorged,2,0,2
enlarged stable,2,0,2
faint opacification,2,0,2
grossly stable,2,0,2
grossly unremarkable,2,0,2
hyperinflated,2,0,2
ij catheter,2,0,2
improvement edema,2,0,2
increased opacification,2,0,2
large,2,0,2
layering effusion,2,0,2
line,2,0,2
linear atelectasis,2,0,2
lower,2,0,2
malignancy,2,0,2
midline sternotomy wires,2,0,2
mild cardiomegaly,2,0,2
multifocal pneumonia,2,0,2
picc,2,0,2
picc tip,2,0,2
port - a - cath tip,2,0,2
post cabg,2,0,2
post median sternotomy,2,0,2
prominence,2,0,2
replacement,2,0,2
similar,2,0,2
size,2,0,2
top normal,2,0,2
vertebroplasty changes,2,0,2
volume loss,2,0,2
well expanded,2,0,2
1 . 6 cm nodular opacity stable new,1,0,1
abnormality unchanged,1,0,1
acute changes,1,0,1
acute component,1,0,1
aligned,1,0,1
anchor,1,0,1
anchors,1,0,1
area consolidation,1,0,1
areas of consolidation,1,0,1
atelectatic,1,0,1
atelectatic changes,1,0,1
better,1,0,1
bypass graft surgery,1,0,1
calcification,1,0,1
calcified granuloma,1,0,1
cannot be assessed,1,0,1
catheter unchanged,1,0,1
cavitary lesion,1,0,1
chronic underlying process,1,0,1
coiling,1,0,1
compression deformity,1,0,1
confluent opacification,1,0,1
deformity,1,0,1
degenerative changes along,1,0,1
demineralized,1,0,1
dense atherosclerotic calcifications,1,0,1
dense opacity,1,0,1
diffuse edema,1,0,1
diffuse increase markings,1,0,1
diffuse increased,1,0,1
diffuse opacifications prominent,1,0,1
diffusely increased markings,1,0,1
dual lead pacing device,1,0,1
effusion obliterates blunts,1,0,1
effusions greater,1,0,1
elevated pressure,1,0,1
elevation,1,0,1
elevation pressure,1,0,1
emphysema,1,0,1
endotracheal,1,0,1
endotracheal tube tip,1,0,1
engorgement,1,0,1
enlarged unchanged,1,0,1
enteric tube tip,1,0,1
enteric tube tip not included in this examination,1,0,1
et tube unchanged,1,0,1
extensive consolidation unchanged,1,0,1
extremely low,1,0,1
face mask overlying,1,0,1
feeding tube,1,0,1
filter,1,0,1
focal new opacity nonspecific,1,0,1
focal opacities,1,0,1
focal opacity,1,0,1
hardware,1,0,1
hyperexpanded,1,0,1
hyperexpansion,1,0,1
hypoinflated,1,0,1
ill - defined opacities unchanged,1,0,1
improved congestion,1,0,1
improvement acute process,1,0,1
increased infiltrate,1,0,1
increased markings similar to prior,1,0,1
increased opacification asymmetry,1,0,1
increased prominence,1,0,1
increased radiodensity,1,0,1
indeterminate age age indeterminate,1,0,1
indistinct,1,0,1
indistinctness,1,0,1
infiltrates,1,0,1
intubated,1,0,1
large area consolidation,1,0,1
large effusions,1,0,1
large effusions greater,1,0,1
large hazy opacity overlying,1,0,1
large mass,1,0,1
little change,1,0,1
little overall change,1,0,1
lobectomy chain sutures,1,0,1
lymphadenopathy,1,0,1
median sternotomy,1,0,1
median sternotomy wires intact,1,0,1
median sternotomy wires intact well aligned,1,0,1
metastatic,1,0,1
mild - to - moderate abnormality,1,0,1
mild - to - moderate compression stable,1,0,1
mild degenerative changes,1,0,1
mild edema new,1,0,1
mild engorgement,1,0,1
mild leftward shift,1,0,1
mild moderately enlarged,1,0,1
mild process,1,0,1
mild prominence markings,1,0,1
mildly engorged,1,0,1
mildly tortuous,1,0,1
moderate - to - severe cardiomegaly,1,0,1
moderate abnormality,1,0,1
moderate effusion unchanged,1,0,1
moderate pneumothorax smaller,1,0,1
moderate severely enlarged,1,0,1
moderate small effusions,1,0,1
moderately calcified,1,0,1
more confluent,1,0,1
more confluent opacity,1,0,1
multifocal consolidations,1,0,1
multilevel degenerative changes,1,0,1
multiple intact wires,1,0,1
multiple nodular densities,1,0,1
multiple old healed fractures,1,0,1
multiple surgical clips,1,0,1
nasogastric,1,0,1
nasogastric tube,1,0,1
nasogastric tube unchanged position,1,0,1
new area increased opacity,1,0,1
new catheter,1,0,1
new infiltrate,1,0,1
new opacity obscuring,1,0,1
new region consolidation,1,0,1
newly opacity,1,0,1
ng tube side port,1,0,1
ng tube unchanged,1,0,1
nodule,1,0,1
opacifications decreasing,1,0,1
opacities improved,1,0,1
opacity ill - defined multiple air bronchograms,1,0,1
opacity improved,1,0,1
opacity less extensive,1,0,1
opacity unchanged,1,0,1
overlying opacity,1,0,1
pacemaker leads,1,0,1
pacemaker two leads appropriate position,1,0,1
pacer leads,1,0,1
patchy ill - defined opacities,1,0,1
patchy opacities lesser,1,0,1
patchy opacity decreased,1,0,1
patchy regions consolidation,1,0,1
patient slightly inspiration,1,0,1
peg tube,1,0,1
permanent pacer,1,0,1
persistent blunting,1,0,1
persistent loss,1,0,1
persistent opacity,1,0,1
picc line,1,0,1
picc line tip,1,0,1
pigtails,1,0,1
port - a - cath catheter tip,1,0,1
port - a - cath in place,1,0,1
port catheter tip,1,0,1
post - radiation changes,1,0,1
pre - existing opacity,1,0,1
pre - existing opacity unchanged,1,0,1
pre - existing pneumonia,1,0,1
prior pneumonia,1,0,1
prior surgery,1,0,1
redistribution,1,0,1
residual mild edema,1,0,1
reticular opacities,1,0,1
row wires unchanged,1,0,1
secondary crowding,1,0,1
similar pattern fibrosis,1,0,1
similar pattern opacity,1,0,1
slight blunting,1,0,1
slight engorgement,1,0,1
slight improvement atelectasis,1,0,1
slight increase opacity,1,0,1
slight patchy opacity,1,0,1
slight prominence,1,0,1
slightly enlarged,1,0,1
slightly low,1,0,1
small free air,1,0,1
stable moderate cardiomegaly,1,0,1
status post median sternotomy,1,0,1
sternotomy,1,0,1
sternotomy sutures midline intact,1,0,1
sternotomy wires intact,1,0,1
streaky,1,0,1
streaky opacification less prominent,1,0,1
streaky opacities,1,0,1
subtle opacities,1,0,1
superimposed infectious process,1,0,1
supervening consolidation,1,0,1
surgical,1,0,1
surgical anchor,1,0,1
surgical anchors,1,0,1
suture anchors,1,0,1
thickened,1,0,1
tiny pneumothorax,1,0,1
top - normal,1,0,1
tortuosity,1,0,1
trace effusion,1,0,1
tracheostomy tube appropriate position,1,0,1
tracheostomy tube unchanged position,1,0,1
two electrodes one,1,0,1
unaltered,1,0,1
unchanged extent,1,0,1
unchanged tracheostomy tube position,1,0,1
underlying consolidation,1,0,1
underlying nodules,1,0,1
upper limits normal,1,0,1
vague opacity,1,0,1
well - expanded,1,0,1
wire fractured,1,0,1
worsening disease,1,0,1
