observation,shared_case_count,generated_only_case_count,reference_only_case_count
septic embolus,0,0,1
severe,0,0,1
severe bronchiectasis,0,0,1
severe disease,0,0,1
severe emphysema,0,0,1
severe fibrosis,0,0,1
slight improvement mild edema,0,0,1
some,0,0,1
some clearing pneumonia,0,0,1
stable cardiomegaly,0,0,1
stable findings,0,0,1
stable large effusion,0,0,1
stable markings,0,0,1
stable pneumothorax,0,0,1
standard positions endotracheal and orogastric tubes,0,0,1
superimposed,0,0,1
superimposed acute process,0,0,1
tb,0,0,1
trace edema,0,0,1
tubes in place,0,0,1
tubes standard position,0,0,1
unchanged opacities,0,0,1
underlying,0,0,1
upward retraction,0,0,1
worsening,0,0,1
worsening chf,0,0,1
worsening new pneumonia,0,0,1
worsening pneumonia,0,0,1
pneumothorax,1,70,0
unchanged,0,26,0
normal,0,23,0
clear,0,18,0
unremarkable,0,18,0
focal consolidation,0,15,0
large effusion,1,14,0
acute abnormalities,0,10,0
relatively low,0,9,0
acute abnormality,0,8,0
enlarged,1,7,0
effusions,0,7,0
intact,0,6,0
mildly enlarged,0,6,0
enlargement,0,5,0
within normal limits,0,5,0
calcified,0,4,0
endotracheal tube,0,4,0
large confluent consolidation,0,4,0
normal limits,0,4,0
surgical clips,0,4,0
patchy opacity,1,3,0
atherosclerotic calcifications,0,3,0
clips,0,3,0
free air,0,3,0
increased markings,0,3,0
monitoring support devices in place,0,3,0
patchy regions consolidation notably,0,3,0
port - a - cath,0,3,0
supervening pneumonia,0,3,0
tortuous,0,3,0
tracheostomy tube,0,3,0
vertebroplasty,0,3,0
loss,1,2,0
blunting,0,2,0
catheter,0,2,0
compressive atelectasis,0,2,0
confluent consolidation,0,2,0
difficult to assess,0,2,0
diffuse abnormality,0,2,0
diffuse opacities,0,2,0
diffusely calcified,0,2,0
engorged,0,2,0
enlarged stable,0,2,0
faint opacification,0,2,0
grossly stable,0,2,0
grossly unremarkable,0,2,0
hyperinflated,0,2,0
improvement edema,0,2,0
increased opacification,0,2,0
large,0,2,0
layering effusion,0,2,0
line,0,2,0
linear atelectasis,0,2,0
lower,0,2,0
malignancy,0,2,0
midline sternotomy wires,0,2,0
mild cardiomegaly,0,2,0
multifocal pneumonia,0,2,0
picc,0,2,0
picc tip,0,2,0
port - a - cath tip,0,2,0
post cabg,0,2,0
post median sternotomy,0,2,0
replacement,0,2,0
similar,0,2,0
size,0,2,0
top normal,0,2,0
vertebroplasty changes,0,2,0
volume loss,0,2,0
well expanded,0,2,0
patchy opacities,1,1,0
1 . 6 cm nodular opacity stable new,0,1,0
abnormality unchanged,0,1,0
acute changes,0,1,0
acute component,0,1,0
aligned,0,1,0
anchor,0,1,0
anchors,0,1,0
area consolidation,0,1,0
areas of consolidation,0,1,0
atelectatic,0,1,0
atelectatic changes,0,1,0
better,0,1,0
bypass graft surgery,0,1,0
calcification,0,1,0
calcified granuloma,0,1,0
cannot be assessed,0,1,0
catheter unchanged,0,1,0
cavitary lesion,0,1,0
chronic underlying process,0,1,0
coiling,0,1,0
compression deformity,0,1,0
confluent opacification,0,1,0
deformity,0,1,0
degenerative changes along,0,1,0
demineralized,0,1,0
dense atherosclerotic calcifications,0,1,0
dense opacity,0,1,0
diffuse edema,0,1,0
diffuse increase markings,0,1,0
diffuse increased,0,1,0
diffuse opacifications prominent,0,1,0
diffusely increased markings,0,1,0
dual lead pacing device,0,1,0
effusion obliterates blunts,0,1,0
effusions greater,0,1,0
elevated pressure,0,1,0
elevation,0,1,0
elevation pressure,0,1,0
emphysema,0,1,0
endotracheal,0,1,0
endotracheal tube tip,0,1,0
engorgement,0,1,0
enlarged unchanged,0,1,0
enteric tube tip,0,1,0
enteric tube tip not included in this examination,0,1,0
et tube unchanged,0,1,0
extensive consolidation unchanged,0,1,0
extremely low,0,1,0
face mask overlying,0,1,0
feeding tube,0,1,0
filter,0,1,0
focal new opacity nonspecific,0,1,0
focal opacities,0,1,0
focal opacity,0,1,0
hardware,0,1,0
hyperexpanded,0,1,0
hyperexpansion,0,1,0
hypoinflated,0,1,0
ij catheter,0,1,0
ill - defined opacities unchanged,0,1,0
improved congestion,0,1,0
improvement acute process,0,1,0
increased infiltrate,0,1,0
increased markings similar to prior,0,1,0
increased opacification asymmetry,0,1,0
increased prominence,0,1,0
increased radiodensity,0,1,0
indeterminate age age indeterminate,0,1,0
indistinct,0,1,0
indistinctness,0,1,0
infiltrates,0,1,0
intubated,0,1,0
large area consolidation,0,1,0
large effusions,0,1,0
large effusions greater,0,1,0
large hazy opacity overlying,0,1,0
large mass,0,1,0
little change,0,1,0
little overall change,0,1,0
lobectomy chain sutures,0,1,0
lymphadenopathy,0,1,0
median sternotomy,0,1,0
median sternotomy wires intact,0,1,0
median sternotomy wires intact well aligned,0,1,0
metastatic,0,1,0
mild - to - moderate abnormality,0,1,0
mild - to - moderate compression stable,0,1,0
mild degenerative changes,0,1,0
mild edema new,0,1,0
mild engorgement,0,1,0
mild leftward shift,0,1,0
mild moderately enlarged,0,1,0
mild process,0,1,0
mild prominence markings,0,1,0
mildly engorged,0,1,0
mildly tortuous,0,1,0
moderate - to - severe cardiomegaly,0,1,0
moderate abnormality,0,1,0
moderate effusion unchanged,0,1,0
moderate pneumothorax smaller,0,1,0
moderate severely enlarged,0,1,0
moderate small effusions,0,1,0
moderately calcified,0,1,0
more confluent,0,1,0
more confluent opacity,0,1,0
multifocal consolidations,0,1,0
multilevel degenerative changes,0,1,0
multiple intact wires,0,1,0
multiple nodular densities,0,1,0
multiple old healed fractures,0,1,0
multiple surgical clips,0,1,0
nasogastric,0,1,0
nasogastric tube,0,1,0
nasogastric tube unchanged position,0,1,0
new area increased opacity,0,1,0
new catheter,0,1,0
new infiltrate,0,1,0
new opacity obscuring,0,1,0
new region consolidation,0,1,0
newly opacity,0,1,0
ng tube side port,0,1,0
ng tube unchanged,0,1,0
nodule,0,1,0
opacifications decreasing,0,1,0
opacities improved,0,1,0
opacity ill - defined multiple air bronchograms,0,1,0
opacity improved,0,1,0
opacity less extensive,0,1,0
opacity unchanged,0,1,0
overlying opacity,0,1,0
pacemaker leads,0,1,0
pacemaker two leads appropriate position,0,1,0
pacer leads,0,1,0
patchy ill - defined opacities,0,1,0
patchy opacities lesser,0,1,0
patchy opacity decreased,0,1,0
patchy regions consolidation,0,1,0
patient slightly inspiration,0,1,0
peg tube,0,1,0
permanent pacer,0,1,0
persistent blunting,0,1,0
persistent loss,0,1,0
persistent opacity,0,1,0
picc line,0,1,0
picc line tip,0,1,0
pigtails,0,1,0
port - a - cath catheter tip,0,1,0
port - a - cath in place,0,1,0
port catheter tip,0,1,0
post - radiation changes,0,1,0
pre - existing opacity,0,1,0
pre - existing opacity unchanged,0,1,0
pre - existing pneumonia,0,1,0
prior pneumonia,0,1,0
prior surgery,0,1,0
prominence,0,1,0
redistribution,0,1,0
residual mild edema,0,1,0
reticular opacities,0,1,0
row wires unchanged,0,1,0
secondary crowding,0,1,0
similar pattern fibrosis,0,1,0
similar pattern opacity,0,1,0
slight blunting,0,1,0
slight engorgement,0,1,0
slight improvement atelectasis,0,1,0
slight increase opacity,0,1,0
slight patchy opacity,0,1,0
slight prominence,0,1,0
slightly enlarged,0,1,0
slightly low,0,1,0
small free air,0,1,0
stable moderate cardiomegaly,0,1,0
status post median sternotomy,0,1,0
sternotomy,0,1,0
sternotomy sutures midline intact,0,1,0
sternotomy wires intact,0,1,0
streaky,0,1,0
streaky opacification less prominent,0,1,0
streaky opacities,0,1,0
subtle opacities,0,1,0
superimposed infectious process,0,1,0
supervening consolidation,0,1,0
surgical,0,1,0
surgical anchor,0,1,0
surgical anchors,0,1,0
suture anchors,0,1,0
thickened,0,1,0
tiny pneumothorax,0,1,0
top - normal,0,1,0
tortuosity,0,1,0
trace effusion,0,1,0
tracheostomy tube appropriate position,0,1,0
tracheostomy tube unchanged position,0,1,0
two electrodes one,0,1,0
unaltered,0,1,0
unchanged extent,0,1,0
unchanged tracheostomy tube position,0,1,0
underlying consolidation,0,1,0
underlying nodules,0,1,0
upper limits normal,0,1,0
vague opacity,0,1,0
well - expanded,0,1,0
wire fractured,0,1,0
worsening disease,0,1,0
displaced fractures,1,0,0
