observation,generated_count,reference_count,count_diff_generated_minus_reference
cannot be assessed,2,0,2
central catheter in place,2,0,2
cholecystectomy,2,0,2
congested,2,0,2
decreased,2,0,2
difficult to assess,2,0,2
diffuse abnormality,2,0,2
diffuse opacities,2,0,2
drainage tube,2,0,2
dual - chamber,2,0,2
dual - lead pacemaker leads,2,0,2
emphysematous,2,0,2
endotracheal tube tip,2,0,2
engorgement,2,0,2
enlarged stable,2,0,2
enlarged unchanged,2,0,2
enteric tube tip,2,0,2
flattening,2,0,2
focal opacities,2,0,2
grossly stable,2,0,2
hardware,2,0,2
hyperexpanded,2,0,2
hyperexpansion,2,0,2
ij catheter,2,0,2
increased infiltrate,2,0,2
increased opacification,2,0,2
indistinct,2,0,2
large,2,0,2
leads,2,0,2
local thickenings regressed,2,0,2
median sternotomy wires intact,2,0,2
midline,2,0,2
mild degenerative changes,2,0,2
mild moderately enlarged,2,0,2
mild prominence markings,2,0,2
mildly tortuous,2,0,2
moderate abnormality,2,0,2
multifocal pneumonia,2,0,2
multiple old fractures,2,0,2
multiple old healed fractures,2,0,2
new focal opacity,2,0,2
ng tube,2,0,2
pacing device,2,0,2
port,2,0,2
post - surgical,2,0,2
severe compression stable,2,0,2
slightly enlarged,2,0,2
slightly low,2,0,2
sternotomy wires intact,2,0,2
subtle patchy opacity,2,0,2
tube unchanged position,2,0,2
typical configurational abnormality,2,0,2
upper limits normal,2,0,2
vertebroplasty changes,2,0,2
within,2,0,2
1 . 6 cm nodular opacity stable new,1,0,1
abnormality unchanged,1,0,1
accentuate markings,1,0,1
accentuated,1,0,1
accentuation,1,0,1
acute changes,1,0,1
acute component,1,0,1
aicd unchanged,1,0,1
aligned,1,0,1
anchor,1,0,1
anchors,1,0,1
area consolidation,1,0,1
areas of consolidation,1,0,1
asymmetry in opacification,1,0,1
atelectasis increased,1,0,1
atelectasis severe,1,0,1
atelectasis similar to prior,1,0,1
atelectasis unchanged,1,0,1
atelectatic,1,0,1
atelectatic changes,1,0,1
better,1,0,1
better inspiration,1,0,1
better ventilated,1,0,1
bypass graft surgery,1,0,1
calcification,1,0,1
calcified granuloma,1,0,1
calcified granuloma stable,1,0,1
calcified granuloma unchanged,1,0,1
calcified granulomas unchanged,1,0,1
calcified granulomata,1,0,1
calcium deposits,1,0,1
catheter unchanged,1,0,1
catheter unchanged position tip,1,0,1
catheters,1,0,1
cavitary lesion,1,0,1
central catheter tip,1,0,1
central congestion worse,1,0,1
central venous,1,0,1
central venous catheter,1,0,1
chest tube,1,0,1
cholecystectomy clips,1,0,1
chronic thickening,1,0,1
chronic underlying process,1,0,1
clips stable,1,0,1
coarse markings,1,0,1
coiling,1,0,1
compression deformity,1,0,1
confluent opacification,1,0,1
confluent opacity,1,0,1
convex opacity,1,0,1
course tube unremarkable,1,0,1
decreased in severity,1,0,1
deformities chronic,1,0,1
deformity,1,0,1
degenerative changes along,1,0,1
dense atherosclerotic calcifications,1,0,1
dense calcified granulomas,1,0,1
dense calcified lymph nodes,1,0,1
dense opacity,1,0,1
density unchanged,1,0,1
dialysis catheter tip,1,0,1
diffuse edema,1,0,1
diffuse increase markings,1,0,1
diffuse increased,1,0,1
diffuse opacifications prominent,1,0,1
diffuse opacities non - specific,1,0,1
diffuse opacities predominantly worsened,1,0,1
diffusely increased markings,1,0,1
drain,1,0,1
dual - channel central venous catheter,1,0,1
dual lead pacemaker tips,1,0,1
dual lead pacing device,1,0,1
early infection,1,0,1
early infectious process,1,0,1
effusion decreased,1,0,1
effusion obliterates blunts,1,0,1
effusion size,1,0,1
effusions greater,1,0,1
effusions prominent,1,0,1
elevation pressure,1,0,1
emphysematous pronounced,1,0,1
endotracheal,1,0,1
endotracheal tube appropriate,1,0,1
enlarged stable configuration,1,0,1
enteric tube,1,0,1
enteric tube tip not included in this examination,1,0,1
essentially clear,1,0,1
et tube standard placement,1,0,1
et tube unchanged,1,0,1
exaggeration,1,0,1
extensive consolidation unchanged,1,0,1
extensive emphysema,1,0,1
face mask overlying,1,0,1
feeding tube,1,0,1
filter,1,0,1
focal new opacity nonspecific,1,0,1
focal opacification,1,0,1
fracture old,1,0,1
fractures old,1,0,1
free,1,0,1
fusion device,1,0,1
granuloma,1,0,1
grossly clear,1,0,1
haze,1,0,1
hemodialysis catheter in place,1,0,1
hypoinflated,1,0,1
icd,1,0,1
icd leads appropriate position,1,0,1
icd stable position,1,0,1
ill - defined opacities unchanged,1,0,1
improved congestion,1,0,1
improvement acute process,1,0,1
increased density,1,0,1
increased markings similar to prior,1,0,1
increased opacification asymmetry,1,0,1
increased opacification silhouetting,1,0,1
increased prominence,1,0,1
increased radiodensity,1,0,1
indeterminate age age indeterminate,1,0,1
infiltrates,1,0,1
intact sternal wires,1,0,1
introducer catheter,1,0,1
intubated,1,0,1
large area consolidation,1,0,1
large effusions,1,0,1
large effusions greater,1,0,1
large hazy opacity overlying,1,0,1
large hiatal hernia,1,0,1
large hydropneumothorax substantial air component,1,0,1
lead,1,0,1
lead fracture,1,0,1
limits assessment,1,0,1
line unchanged position,1,0,1
linear opacity,1,0,1
little,1,0,1
little change opacification,1,0,1
lobectomy chain sutures,1,0,1
local thickening,1,0,1
loculated hydropneumothorax unchanged,1,0,1
lymphadenopathy,1,0,1
magnified,1,0,1
marked opacification,1,0,1
mass,1,0,1
median sternotomy wires intact well aligned,1,0,1
mild - to - moderate abnormality,1,0,1
mild - to - moderate compression stable,1,0,1
mild - to - moderate degenerative,1,0,1
mild blunting,1,0,1
mild cardiomegaly changed,1,0,1
mild degenerative,1,0,1
mild edema new,1,0,1
mild edema unchanged,1,0,1
mild engorgement,1,0,1
mild flattening,1,0,1
mild hyperexpansion,1,0,1
mild leftward shift,1,0,1
mild moderate edema,1,0,1
mild moderate edema worse,1,0,1
mild process,1,0,1
mild scarring,1,0,1
mildly engorged,1,0,1
minimally decreased,1,0,1
moderate - sized pneumothorax,1,0,1
moderate - sized pneumothorax unchanged size,1,0,1
moderate - to - severe cardiomegaly,1,0,1
moderate cardiomegaly stable,1,0,1
moderate edema unchanged,1,0,1
moderate edema worse,1,0,1
moderate effusion increased,1,0,1
moderate pneumothorax smaller,1,0,1
moderate severely enlarged,1,0,1
moderate small effusions similar to prior,1,0,1
moderately calcified,1,0,1
moderately enlarged similar to prior,1,0,1
monitoring support devices constant,1,0,1
more confluent,1,0,1
more confluent opacity,1,0,1
more focal opacities,1,0,1
multifocal consolidations,1,0,1
multilevel degenerative changes,1,0,1
multiple calcified lymph nodes,1,0,1
multiple intact wires,1,0,1
multiple surgical clips,1,0,1
nasogastric,1,0,1
nasogastric tube,1,0,1
nasogastric tube unchanged position,1,0,1
new area increased opacity,1,0,1
new catheter,1,0,1
new indistinctness markings,1,0,1
new infiltrate,1,0,1
new opacity obscuring,1,0,1
new region consolidation,1,0,1
newly opacity,1,0,1
ng tube side port,1,0,1
ng tube tip,1,0,1
ng tube unchanged,1,0,1
old fracture,1,0,1
old granulomatous infections,1,0,1
opacifications,1,0,1
opacifications decreasing,1,0,1
opacities improved,1,0,1
opacities increased,1,0,1
opacities slightly worse,1,0,1
opacity ill - defined multiple air bronchograms,1,0,1
opacity improved,1,0,1
opacity less extensive,1,0,1
opacity lucency,1,0,1
opacity new,1,0,1
ordinary,1,0,1
other abnormalities,1,0,1
over expected locations,1,0,1
overlying opacities,1,0,1
overlying opacity,1,0,1
pacemaker leads unchanged,1,0,1
pacemaker unchanged dual leads,1,0,1
pacer leads,1,0,1
pacer leads appropriate position,1,0,1
partial calcification,1,0,1
partial obliteration unchanged,1,0,1
patchy ill - defined opacities,1,0,1
patchy ill - defined opacity,1,0,1
patchy opacities lesser,1,0,1
patchy opacity decreased,1,0,1
patchy regions consolidation,1,0,1
patient rotated,1,0,1
patient rotated to the right,1,0,1
patient slightly inspiration,1,0,1
peg tube,1,0,1
permanent pacer,1,0,1
persistent blunting,1,0,1
persistent loss,1,0,1
pigtail,1,0,1
pigtails,1,0,1
pneumothoraces,1,0,1
port - a - cath changed,1,0,1
port - a - cath in place,1,0,1
post,1,0,1
post - radiation changes,1,0,1
post - surgical changes,1,0,1
pre - existing effusion decreased in extent,1,0,1
pre - existing opacity,1,0,1
pre - existing opacity unchanged,1,0,1
pre - existing pneumonia,1,0,1
prior pneumonia,1,0,1
prior surgery,1,0,1
pseudoaneurysm,1,0,1
radiopaque foreign body,1,0,1
re - distribution,1,0,1
redistribution,1,0,1
relatively,1,0,1
remaining catheter,1,0,1
residual mild edema,1,0,1
reticular opacities,1,0,1
right picc,1,0,1
row wires unchanged,1,0,1
secondary crowding,1,0,1
severe emphysematous changes,1,0,1
severity,1,0,1
similar pattern fibrosis,1,0,1
similar pattern opacity,1,0,1
single - lead aicd lead,1,0,1
single - lead pacer intact lead,1,0,1
slight blunting,1,0,1
slight engorgement,1,0,1
slight improvement atelectasis,1,0,1
slight increase opacity,1,0,1
slight patchy opacity,1,0,1
slight prominence,1,0,1
slightly,1,0,1
small - to - moderate effusion unchanged,1,0,1
small effusions unchanged,1,0,1
small eventration,1,0,1
small free air,1,0,1
small pneumothorax,1,0,1
stable atelectasis,1,0,1
stable hyperinflation,1,0,1
stable opacity,1,0,1
status post median sternotomy,1,0,1
sternotomy,1,0,1
sternotomy sutures midline intact,1,0,1
sternotomy wires stable,1,0,1
streaks atelectasis,1,0,1
streaky,1,0,1
streaky opacification less prominent,1,0,1
streaky opacity,1,0,1
substantial loss,1,0,1
substantially atelectatic,1,0,1
subtle opacities,1,0,1
superimposed infection,1,0,1
superimposed infectious process,1,0,1
supervening aspiration,1,0,1
support devices unchanged positions,1,0,1
surgical,1,0,1
surgical anchor,1,0,1
surgical anchors,1,0,1
suture anchors,1,0,1
symmetrically expanded,1,0,1
temporary pacemaker in place tip,1,0,1
thickened,1,0,1
tiny effusion,1,0,1
tiny pneumothorax,1,0,1
tip not included in the image,1,0,1
top - normal,1,0,1
top normal size,1,0,1
tortuosity,1,0,1
tracheobronchomalacia stent placement,1,0,1
tracheostomy tube appropriate position,1,0,1
tracheostomy tube unchanged position,1,0,1
triple - lead aicd leads,1,0,1
triple - lead pacemaker tips,1,0,1
two electrodes one,1,0,1
unaltered,1,0,1
unchanged atelectasis,1,0,1
unchanged extent,1,0,1
unchanged moderate cardiomegaly,1,0,1
unchanged moderate effusion,1,0,1
unchanged position,1,0,1
unchanged tracheostomy tube position,1,0,1
underlying consolidation,1,0,1
underlying nodules,1,0,1
upper,1,0,1
upper limit normal variation,1,0,1
vague opacity,1,0,1
ventilation,1,0,1
volume loss,1,0,1
vp shunt catheter,1,0,1
well - expanded,1,0,1
well aerated,1,0,1
widespread mild abnormality,1,0,1
wire fractured,1,0,1
wires,1,0,1
wires intact,1,0,1
worsening disease,1,0,1
worsening edema moderate,1,0,1
